题号,输入Prompt,真实难度标签,系统预估难度,仲裁引擎,判定流程,真实调用链路,最终调用模型,最终总耗时,平均TPS,安全得分,执行后电量,执行后温度,最终模型回复
C01,请用 python 代码实现快速排序，必须放在```代码块```里，并解释复杂度。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=45.00) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=27.121s -> [质量通过],qwen-1.5b,27.1207,14.5728,27.372,98.92,44.29,"以下是使用Python实现的快速排序算法：  ```python def quick_sort(arr):     if len(arr) <= 1:         return arr     else:         pivot = arr[len(arr) // 2]         left = [x for x in arr if x < pivot]         middle = [x for x in arr if x == pivot]         right = [x for x in arr if x > pivot]          return quick_sort(left) + middle + quick_sort(right)  print(quick_sort([3,6,8,10,12,5])) ```  复杂度分析：  快速排序的时间复杂度主要取决于选择的基准元素，如果基准元素的选择是随机的，则平均时间复杂度为O(n log n)，最坏情况下为O(n^2)。  具体来说：  - 基准元素的选择：在Python中，`random.choice(arr)`通常被用来作为基准元素，因为这个方法能保证选择的元素的概率分布均匀。 - 分区操作：在平均和最好的情况下，分区操作的时间复杂度是O(n)，因为每次分区操作只会将数组分成大约一半大小的两部分。  - 递归调用：快速排序算法对每个子问题进行递归调用，其时间复杂度取决于树的高度，而树高度通常为O(log n)。  总之，虽然快速排序的平均和最好情况下的时间复杂度是O(n log n)，但由于分区操作需要对数组进行两倍大小的部分划分，所以在最坏情况下的性能可能会较差。"
C12,请翻译成英语：请务必保留术语的准确性与完整性。,2,1,RF,MLP初判(1)->RF复判(1)->最终1,[初始路由]qwen-0.5b(score=8.08) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.578s -> [质量通过],qwen-0.5b,0.5776,35.7,12.471,92.21,50.85,Please ensure that the terms are accurate and complete.
C13,请实现哈希表并处理冲突，要求输出完整```代码块```。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=16.55,跳过:qwen-1.5b -> [初始路由]llama-1b(score=16.55) -> [调用]llama-1b -> [状态回写]llama-1b|t=21.253s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=12.77,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,22.4533,17.7231,12.768,91.78,50.52,这是由云端大模型 API 生成的高质量兜底回答。
C14,请翻译成英语：论文实验需要严格遵循控制变量法。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,[初始路由]llama-1b(score=16.79) -> [调用]llama-1b -> [状态回写]llama-1b|t=1.249s -> [质量通过],llama-1b,1.2494,21.9362,20.001,91.76,46.15,Experimental work on a paper requires strict adherence to control variance.
C15,请给出 Python 版并查集实现，必须使用```代码块```。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=23.33) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=21.620s -> [质量通过],qwen-1.5b,21.6202,14.6135,11.16,90.9,51.17,"以下是Python版本的并查集实现：  ```python class UnionFind:     def __init__(self, n):         self.parent = list(range(n))         self.size = [1] * n      def find(self, x):         if self.parent[x] != x:             self.parent[x] = self.find(self.parent[x])         return self.parent[x]      def union(self, x, y):         root_x = self.find(x)         root_y = self.find(y)          if root_x == root_y:             return          if self.size[root_x] < self.size[root_y]:             self.parent[root_x] = root_y             self.size[root_y] += self.size[root_x]         else:             self.parent[root_y] = root_x             self.size[root_x] += self.size[root_y]      def count(self):         return len(set(self.find(x) for x in range(len(self.parent)))) ```  这是一个基本的并查集实现，它有以下功能：  1. 初始化一个大小为n的并查集。 2. `find(x)`方法找到节点x所在的集合根节点。 3. `union(x, y)`方法将两个节点连通，并更新每个节点的大小。 4. `count()`方法返回并查集中包含的节点数量。  请注意，这个实现使用的是路径压缩和按秩合并策略。在实际应用中，你可能需要根据具体情况进行调整。"
C16,请翻译成英语：模型需要在端侧设备上稳定运行。,2,2,RF,MLP初判(2)->RF复判(2)->最终2,[初始路由]llama-1b(score=15.28) -> [调用]llama-1b -> [状态回写]llama-1b|t=1.099s -> [质量通过],llama-1b,1.0987,20.8027,18.633,90.88,46.65,The model needs to be stabilized in the endpoint devices.
C17,请输出 C++ 版快速幂实现，必须放进```代码块```。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=22.05) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=8.495s -> [质量通过],qwen-1.5b,8.4949,14.7026,19.179,90.54,46.2,"```cpp #include<iostream> using namespace std;  long long fast_pow(long long base, int exp) {     if(exp == 0) return 1;     long long tmp = fast_pow(base,exp/2);     tmp *= tmp;      if (exp % 2 == 1)          tmp*=base;     return tmp; }  int main() {     long long base, exp;     cin >> base >> exp;     cout << fast_pow(base, exp) << endl;     return 0; } ```"
C18,请翻译成英语：请保持语义一致，不要自由发挥。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,[初始路由]llama-1b(score=22.52) -> [调用]llama-1b -> [状态回写]llama-1b|t=2.635s -> [质量通过],llama-1b,2.6352,17.8618,24.624,90.49,42.9,"Please keep the sentence coherent and without any semantic variations. Don't generate any non-sensical English text, avoid mixing words with other languages, don't provide translations or explanations."
C19,请用 python 写一个 BFS，必须使用```代码块```并解释每行作用。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=27.44) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=41.143s -> qwen-1.5b [质量拦截:复读机输出] -> [受限/妥协]端侧最高模型仍不达标 -> [云端兜底卸载] -> Cloud-API [成功],qwen-1.5b,42.3431,14.2273,1.089,88.84,56.5,这是由云端大模型 API 生成的高质量兜底回答。
C20,请翻译成英语：我们需要自动化可视化评测流水线。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,[初始路由]llama-1b(score=6.05) -> [调用]llama-1b -> [状态回写]llama-1b|t=0.961s -> [质量通过],llama-1b,0.9613,22.9624,10.212,88.82,50.99,We need an automated visual testing pipeline.
C21,请用 python 实现 Dijkstra 算法，必须输出```代码块```，不要省略 import。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=14.31,跳过:qwen-1.5b -> [初始路由]llama-1b(score=14.31) -> [调用]llama-1b -> [状态回写]llama-1b|t=14.977s -> llama-1b [质量拦截:代码任务缺少代码块] -> [受限/妥协]score=12.76,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,16.1767,18.1457,12.762,88.52,49.34,这是由云端大模型 API 生成的高质量兜底回答。
C22,请翻译成英语：系统需要在端侧设备上稳定低延迟运行。,2,2,RF,MLP初判(2)->RF复判(2)->最终2,[初始路由]llama-1b(score=16.60) -> [调用]llama-1b -> [状态回写]llama-1b|t=1.430s -> [质量通过],llama-1b,1.4296,20.432,19.569,88.49,45.22,The system needs to be stable low latency running on the client device.
C23,请用 c++ 实现拓扑排序，必须放到```代码块```里并附注释。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=22.76) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=37.914s -> qwen-1.5b [质量拦截:复读机输出] -> [受限/妥协]端侧最高模型仍不达标 -> [云端兜底卸载] -> Cloud-API [成功],qwen-1.5b,39.1144,14.3611,-0.993,86.97,57.08,这是由云端大模型 API 生成的高质量兜底回答。
C24,请翻译成英语：请不要改变原句的技术术语。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,[初始路由]llama-1b(score=4.06) -> [调用]llama-1b -> [状态回写]llama-1b|t=0.947s -> [质量通过],llama-1b,0.9466,19.6435,8.31,86.95,51.46,Please don't change the technical language.
C25,请实现 Python 版并发队列，必须使用```代码块```输出完整实现。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=12.48,跳过:qwen-1.5b -> [初始路由]llama-1b(score=12.48) -> [调用]llama-1b -> [状态回写]llama-1b|t=10.363s -> [质量通过]",llama-1b,10.3629,18.3979,12.609,86.74,48.79,"```python from threading import Thread, Queue import time   def task(queue):     """"""     Simulate a long-running task.     :param queue: Queue to put the result in after execution.     :return:     """"""      # Simulate a long running task     print(""Task started"")     time.sleep(10)     print(""Task finished"")   # Create two tasks for parallel processing. task_1 = Thread(target=task, args=(Queue(),)) task_2 = Thread(target=task, args=(Queue(),))   # Create a queue and put the results in it queue = Queue()   task_1.start() task_2.start()  # Wait for both tasks to finish task_1.join() task_2.join()  # Put the result from the first task into the queue queue.put(""Task 1 finished"") ```"
C26,请翻译成英语：我们需要对模型进行公平对比实验。,2,1,RF,MLP初判(1)->RF复判(1)->最终1,[初始路由]qwen-0.5b(score=16.36) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.705s -> [质量通过],qwen-0.5b,0.7048,32.3455,19.623,86.73,44.55,We need to conduct a fairness comparison experiment on the model.
C27,请用 c++ 写一个最小堆实现，必须输出```代码块```和测试样例。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=22.71) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=59.497s -> qwen-1.5b [质量拦截:复读机输出] -> [受限/妥协]端侧最高模型仍不达标 -> [云端兜底卸载] -> Cloud-API [成功],qwen-1.5b,60.6968,14.2179,-16.305,84.35,65.36,这是由云端大模型 API 生成的高质量兜底回答。
C28,请翻译成英语：硬件温度上升会触发动态降级策略。,2,2,RF,MLP初判(2)->RF复判(2)->最终2,"[受限降级]score=-9.93,跳过:llama-1b -> [初始路由]qwen-0.5b(score=-9.93) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.639s -> [质量通过]",qwen-0.5b,0.6393,31.9531,-4.281,84.34,58.11,Higher hardware temperature may trigger the dynamic downgrade strategy.
C29,请用 python 给出 LRU 缓存类，必须使用```代码块```并说明时间复杂度。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=0.94,跳过:qwen-1.5b -> [初始路由]llama-1b(score=0.94) -> [调用]llama-1b -> [状态回写]llama-1b|t=30.740s -> [质量通过]",llama-1b,30.7403,17.5286,-5.127,83.73,58.4,"``` class LRUCache:     def __init__(self, capacity: int):         self.capacity = capacity         self.map = {}  # key为缓存的key，value是缓存的值         self.head = ListNode()  # head指向头结点         self.tail = ListNode()  # tail指向尾结点      def get(self, key: int) -> int:         if key not in self.map:             return -1         node = self.head.next         while (node in self.map):             node = self.head.next         self._move_to_head(key)         return self.map[key]      def put(self, key: int, value: int) -> None:         if key not in self.map:             node = ListNode(key, value)             self.map[key] = node             if len(self.map) > self.capacity:                 lru_node = self.tail.next                 del self.map[lru_node.key]                 self.map.pop(lru_node.key)             self._move_to_head(key)         else:             node = self.map[key]             node.value = value      def _move_to_head(self, key: int) -> None:         prev_node = self.head         next_node = prev_node.next         del self.map[key]         prev_node.next = next_node         if next_node:             next_node.prev = prev_node  class ListNode:     def __init__(self, key: int, value: int):         self.key = key         self.value = value         self.prev = None         self.next = None ``` 时间复杂度分析：  *   `get(key)`方法：最终时间复杂度为O(1)，因为我们直接访问到缓存的值。 *   `put(key, value)`方法：最终时间复杂度为O(1)，因为我们在每个 Cache 中插入新的元素并更新头结点后，移动到头结点所需时间为O(n)。因此，总时间复杂度为O(n+1)，即O(n)+O(1)=O(n)。  **注意：LRU 缓存是一种常见的缓存算法，它的主要优势是提高cache miss的概率。但是，它也存在一些缺点，如Cache Hit可能会导致内存占用增加的问题和过度使用内存，需要在应用程序中进行优化。**"
C30,请翻译成英语：请确保译文语法正确且自然。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,[初始路由]llama-1b(score=0.14) -> [调用]llama-1b -> [状态回写]llama-1b|t=1.706s -> [质量通过],llama-1b,1.706,18.5676,4.305,83.7,52.7,"Please go ahead and provide the instructions. I will execute them strictly, without modifications or interpretations."
C31,请实现 C++ 版二分查找，必须放入```代码块```，并解释边界处理。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=8.67,跳过:qwen-1.5b -> [初始路由]llama-1b(score=8.67) -> [调用]llama-1b -> [状态回写]llama-1b|t=18.886s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=5.98,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,20.0855,18.2662,5.982,83.32,51.55,这是由云端大模型 API 生成的高质量兜底回答。
C32,请翻译成英语：论文图表需要统一字体和分辨率。,2,1,RF,MLP初判(1)->RF复判(1)->最终1,[初始路由]qwen-0.5b(score=10.17) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.602s -> [质量通过],qwen-0.5b,0.6018,37.8925,13.851,83.31,46.8,Charts in the paper should use uniform fonts and resolutions.
C33,请用 python 实现 KMP 算法，必须给出```代码块```和 next 数组构造说明。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=17.29,跳过:qwen-1.5b -> [初始路由]llama-1b(score=17.29) -> [调用]llama-1b -> [状态回写]llama-1b|t=94.964s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-12.97,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,96.1644,15.8554,-12.969,81.41,62.29,这是由云端大模型 API 生成的高质量兜底回答。
C34,请翻译成英语：请在译文中保留关键术语原意。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,"[受限降级]score=-7.09,跳过:llama-1b -> [初始路由]qwen-0.5b(score=-7.09) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=1.535s -> [质量通过]",qwen-0.5b,1.5347,30.9936,-2.031,81.39,55.68,"Please translate the text as follows:  ---  Please preserve key terms in the original meaning.  ---  This translation maintains the key terms and their meanings from the original context, ensuring clarity and accuracy."
C35,请写一个 c++ 版单例模式实现，必须使用```代码块```并说明线程安全。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=2.81,跳过:qwen-1.5b -> [初始路由]llama-1b(score=2.81) -> [调用]llama-1b -> [状态回写]llama-1b|t=35.153s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-5.15,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,36.3529,17.3572,-5.151,80.69,57.31,这是由云端大模型 API 生成的高质量兜底回答。
C36,请翻译成英语：系统必须支持自动化场景回归测试。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,"[受限降级]score=-0.05,跳过:llama-1b -> [初始路由]qwen-0.5b(score=-0.05) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.590s -> [质量通过]",qwen-0.5b,0.5898,33.461,4.458,80.68,51.51,The system must support automated scenarios for regression testing.
C37,请用 python 实现哈希表冲突处理，必须输出```代码块```。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=8.64,跳过:qwen-1.5b -> [初始路由]llama-1b(score=8.64) -> [调用]llama-1b -> [状态回写]llama-1b|t=13.155s -> [质量通过]",llama-1b,13.1546,18.168,7.812,80.42,49.39,"```python class HashTable:     def __init__(self, size=100):         self.size = size         self.table = [[] for _ in range(size)]      def hash_function(self, key):         return key % self.size      def put(self, key, value):         index = self.hash_function(key)         for pair in self.table[index]:             if pair[0] == key:                 print(f""Duplicate key {key} found at position {index}."")                 return         self.table[index].append([key, value])      def get(self, key):         index = self.hash_function(key)         for pair in self.table[index]:             if pair[0] == key:                 return pair[1]         print(f""Key {key} not found."")         return None  # Usage hash_table = HashTable() hash_table.put(10, 5) hash_table.put(20, 15)  print(hash_table.get(10))  # Output: 5 print(hash_table.get(25))  # Output: None ```"
C38,请翻译成英语：请严格按照输入语义进行翻译。,2,2,RF,MLP初判(1)->RF复判(2)->最终2,[初始路由]llama-1b(score=11.67) -> [调用]llama-1b -> [状态回写]llama-1b|t=1.510s -> [质量通过],llama-1b,1.5098,19.6257,14.619,80.39,45.28,Please provide the input text and I will translate it accurately following your intended meaning.
C39,请给出 C++ 版 BFS 与 DFS，必须使用```代码块```并比较复杂度。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=17.81,跳过:qwen-1.5b -> [初始路由]llama-1b(score=17.81) -> [调用]llama-1b -> [状态回写]llama-1b|t=38.740s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=7.11,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,39.9396,17.3193,7.107,79.62,49.53,这是由云端大模型 API 生成的高质量兜底回答。
C40,请翻译成英语：我们正在构建高内聚低耦合的评测流水线。,2,2,RF,MLP初判(2)->RF复判(2)->最终2,[初始路由]llama-1b(score=10.98) -> [调用]llama-1b -> [状态回写]llama-1b|t=1.429s -> [质量通过],llama-1b,1.4286,20.931,13.974,79.59,45.38,We are building a pipeline for measuring high cohesion and low coupling.
